Name,Type,Address,Longitude,Latitude
观音桥(地铁站),交通设施服务;地铁站;地铁站,3号线;9号线,106.532469,29.573462
红旗河沟(地铁站),交通设施服务;地铁站;地铁站,3号线;6号线,106.526215,29.585387
大学城(地铁站),交通设施服务;地铁站;地铁站,(在建)17号线;1号线,106.308908,29.607350
微电园(地铁站),交通设施服务;地铁站;地铁站,(在建)7号线;1号线,106.362894,29.609665
大坪(地铁站),交通设施服务;地铁站;地铁站,1号线;2号线,106.519184,29.541886
小什字(地铁站),交通设施服务;地铁站;地铁站,(在建)18号线渝中延伸段;1号线;6号线,106.583593,29.560028
冉家坝(地铁站),交通设施服务;地铁站;地铁站,5号线;6号线;环线,106.498821,29.598628
沙坪坝(地铁站),交通设施服务;地铁站;地铁站,(在建)27号线;1号线;9号线;环线,106.460425,29.556003
南坪(地铁站),交通设施服务;地铁站;地铁站,(在建)27号线;10号线;3号线,106.569885,29.525990
李子坝(地铁站),交通设施服务;地铁站;地铁站,2号线,106.537660,29.552892
杨家坪(地铁站),交通设施服务;地铁站;地铁站,18号线;2号线,106.515931,29.507894
璧山(地铁站),交通设施服务;地铁站;地铁站,(在建)27号线;1号线;璧铜线,106.232610,29.612250
重庆西站(地铁站),交通设施服务;地铁站;地铁站,(在建)永川线;5号线;环线,106.439385,29.500105
四公里(地铁站),交通设施服务;地铁站;地铁站,3号线;环线,106.576142,29.516665
较场口(地铁站),交通设施服务;地铁站;地铁站,1号线;2号线,106.574352,29.553575
上新街(地铁站),交通设施服务;地铁站;地铁站,6号线;环线,106.597196,29.556094
石桥铺(地铁站),交通设施服务;地铁站;地铁站,(在建)27号线;1号线;5号线,106.484891,29.532771
临江门(地铁站),交通设施服务;地铁站;地铁站,2号线,106.575022,29.558356
蔡家(地铁站),交通设施服务;地铁站;地铁站,6号线,106.492270,29.736017
茶园(地铁站),交通设施服务;地铁站;地铁站,6号线,106.642898,29.487559
花卉园(地铁站),交通设施服务;地铁站;地铁站,4号线;6号线,106.512935,29.583226
七星岗(地铁站),交通设施服务;地铁站;地铁站,(在建)18号线渝中延伸段;10号线;1号线,106.562910,29.554914
重庆北站北广场(地铁站),交通设施服务;地铁站;地铁站,10号线;4号线,106.551178,29.612269
两路口(地铁站),交通设施服务;地铁站;地铁站,1号线;3号线,106.549380,29.552478
北碚(地铁站),交通设施服务;地铁站;地铁站,6号线,106.437659,29.825449
朝天门(地铁站),交通设施服务;地铁站;地铁站,1号线,106.585845,29.564142
大竹林(地铁站),交通设施服务;地铁站;地铁站,6号线,106.478351,29.628054
鱼洞(地铁站),交通设施服务;地铁站;地铁站,2号线;3号线,106.505897,29.375867
大石坝(地铁站),交通设施服务;地铁站;地铁站,4号线;5号线,106.497060,29.571683
跳磴(地铁站),交通设施服务;地铁站;地铁站,18号线;5号线;江跳线,106.437561,29.408248
弹子石(地铁站),交通设施服务;地铁站;地铁站,环线,106.592419,29.585888
嘉州路(地铁站),交通设施服务;地铁站;地铁站,3号线;4号线,106.522156,29.595523
重庆北站南广场(地铁站),交通设施服务;地铁站;地铁站,10号线;3号线;环线,106.549272,29.606820
礼嘉(地铁站),交通设施服务;地铁站;地铁站,6号线;国博线,106.488115,29.667234
回兴(地铁站),交通设施服务;地铁站;地铁站,3号线,106.605749,29.690341
刘家坪(地铁站),交通设施服务;地铁站;地铁站,6号线;6号线东站段,106.655733,29.524717
陈家桥(地铁站),交通设施服务;地铁站;地铁站,(在建)15号线二期;1号线,106.328499,29.607427
磁器口(地铁站),交通设施服务;地铁站;地铁站,(在建)27号线;1号线,106.446420,29.576719
五里店(地铁站),交通设施服务;地铁站;地铁站,6号线;9号线;环线,106.565175,29.585170
大龙山(地铁站),交通设施服务;地铁站;地铁站,5号线;6号线,106.498792,29.589491
龙头寺(地铁站),交通设施服务;地铁站;地铁站,3号线,106.549627,29.616770
狮子坪(地铁站),交通设施服务;地铁站;地铁站,3号线,106.549203,29.601310
石油路(地铁站),交通设施服务;地铁站;地铁站,1号线,106.508308,29.538110
鸳鸯(地铁站),交通设施服务;地铁站;地铁站,3号线,106.560147,29.661318
袁家岗(地铁站),交通设施服务;地铁站;地铁站,2号线,106.513742,29.528808
鱼胡路(地铁站),交通设施服务;地铁站;地铁站,3号线,106.539205,29.377749
