Name,Type,Address,Longitude,Latitude,WGS84_Lng,WGS84_Lat
观音桥(地铁站),交通设施服务;地铁站;地铁站,3号线;9号线,106.532469,29.573462,106.52871,29.576263
红旗河沟(地铁站),交通设施服务;地铁站;地铁站,3号线;6号线,106.526215,29.585387,106.522439,29.588168
大学城(地铁站),交通设施服务;地铁站;地铁站,(在建)17号线;1号线,106.308908,29.607350,106.305061,29.609991
微电园(地铁站),交通设施服务;地铁站;地铁站,(在建)7号线;1号线,106.362894,29.609665,106.35892,29.612209
大坪(地铁站),交通设施服务;地铁站;地铁站,1号线;2号线,106.519184,29.541886,106.515392,29.544662
小什字(地铁站),交通设施服务;地铁站;地铁站,(在建)18号线渝中延伸段;1号线;6号线,106.583593,29.560028,106.579907,29.56292
冉家坝(地铁站),交通设施服务;地铁站;地铁站,5号线;6号线;环线,106.498821,29.598628,106.494966,29.601324
沙坪坝(地铁站),交通设施服务;地铁站;地铁站,(在建)27号线;1号线;9号线;环线,106.460425,29.556003,106.456467,29.558607
南坪(地铁站),交通设施服务;地铁站;地铁站,(在建)27号线;10号线;3号线,106.569885,29.525990,106.566194,29.528882
李子坝(地铁站),交通设施服务;地铁站;地铁站,2号线,106.537660,29.552892,106.533915,29.555713
杨家坪(地铁站),交通设施服务;地铁站;地铁站,18号线;2号线,106.515931,29.507894,106.512132,29.510674
璧山(地铁站),交通设施服务;地铁站;地铁站,(在建)27号线;1号线;璧铜线,106.232610,29.612250,106.228843,29.614944
重庆西站(地铁站),交通设施服务;地铁站;地铁站,(在建)永川线;5号线;环线,106.439385,29.500105,106.43539,29.502688
四公里(地铁站),交通设施服务;地铁站;地铁站,3号线;环线,106.576142,29.516665,106.572456,29.519568
较场口(地铁站),交通设施服务;地铁站;地铁站,1号线;2号线,106.574352,29.553575,106.570663,29.556462
上新街(地铁站),交通设施服务;地铁站;地铁站,6号线;环线,106.597196,29.556094,106.593508,29.558992
石桥铺(地铁站),交通设施服务;地铁站;地铁站,(在建)27号线;1号线;5号线,106.484891,29.532771,106.480999,29.535449
临江门(地铁站),交通设施服务;地铁站;地铁站,2号线,106.575022,29.558356,106.571333,29.561242
蔡家(地铁站),交通设施服务;地铁站;地铁站,6号线,106.492270,29.736017,106.488387,29.738662
茶园(地铁站),交通设施服务;地铁站;地铁站,6号线,106.642898,29.487559,106.639143,29.490445
花卉园(地铁站),交通设施服务;地铁站;地铁站,4号线;6号线,106.512935,29.583226,106.509122,29.585969
七星岗(地铁站),交通设施服务;地铁站;地铁站,(在建)18号线渝中延伸段;10号线;1号线,106.562910,29.554914,106.55921,29.557786
重庆北站北广场(地铁站),交通设施服务;地铁站;地铁站,10号线;4号线,106.551178,29.612269,106.547457,29.615101
两路口(地铁站),交通设施服务;地铁站;地铁站,1号线;3号线,106.549380,29.552478,106.545659,29.555326
北碚(地铁站),交通设施服务;地铁站;地铁站,6号线,106.437659,29.825449,106.433641,29.827951
朝天门(地铁站),交通设施服务;地铁站;地铁站,1号线,106.585845,29.564142,106.582159,29.567034
大竹林(地铁站),交通设施服务;地铁站;地铁站,6号线,106.478351,29.628054,106.474434,29.630682
鱼洞(地铁站),交通设施服务;地铁站;地铁站,2号线;3号线,106.505897,29.375867,106.502076,29.378684
大石坝(地铁站),交通设施服务;地铁站;地铁站,4号线;5号线,106.497060,29.571683,106.493201,29.574383
跳磴(地铁站),交通设施服务;地铁站;地铁站,18号线;5号线;江跳线,106.437561,29.408248,106.433569,29.410873
弹子石(地铁站),交通设施服务;地铁站;地铁站,环线,106.592419,29.585888,106.588731,29.588775
嘉州路(地铁站),交通设施服务;地铁站;地铁站,3号线;4号线,106.522156,29.595523,106.518369,29.598289
重庆北站南广场(地铁站),交通设施服务;地铁站;地铁站,10号线;3号线;环线,106.549272,29.606820,106.545548,29.60965
礼嘉(地铁站),交通设施服务;地铁站;地铁站,6号线;国博线,106.488115,29.667234,106.484224,29.66988
回兴(地铁站),交通设施服务;地铁站;地铁站,3号线,106.605749,29.690341,106.602047,29.6932
刘家坪(地铁站),交通设施服务;地铁站;地铁站,6号线;6号线东站段,106.655733,29.524717,106.651943,29.527565
陈家桥(地铁站),交通设施服务;地铁站;地铁站,(在建)15号线二期;1号线,106.328499,29.607427,106.324604,29.610032
磁器口(地铁站),交通设施服务;地铁站;地铁站,(在建)27号线;1号线,106.446420,29.576719,106.442431,29.579285
五里店(地铁站),交通设施服务;地铁站;地铁站,6号线;9号线;环线,106.565175,29.585170,106.561476,29.588035
大龙山(地铁站),交通设施服务;地铁站;地铁站,5号线;6号线,106.498792,29.589491,106.494937,29.59219
龙头寺(地铁站),交通设施服务;地铁站;地铁站,3号线,106.549627,29.616770,106.545903,29.619598
狮子坪(地铁站),交通设施服务;地铁站;地铁站,3号线,106.549203,29.601310,106.545479,29.604141
石油路(地铁站),交通设施服务;地铁站;地铁站,1号线,106.508308,29.538110,106.504485,29.540856
鸳鸯(地铁站),交通设施服务;地铁站;地铁站,3号线,106.560147,29.661318,106.556437,29.664154
袁家岗(地铁站),交通设施服务;地铁站;地铁站,2号线,106.513742,29.528808,106.509935,29.531573
鱼胡路(地铁站),交通设施服务;地铁站;地铁站,3号线,106.539205,29.377749,106.535473,29.380657
